Dateipfad;Architektur;Min. OS Version;Windows Name
"./Qualcomm-_ADK6.4.0.43/tools/python27/Lib/site-packages/setuptools/cli-32.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Lib/distutils/command/wininst-9.0-amd64.exe";"64-Bit";"5.2";"Windows XP 64-Bit / Server 2003"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Lib/distutils/command/wininst-9.0.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Lib/distutils/command/wininst-7.1.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Lib/distutils/command/wininst-8.0.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Lib/distutils/command/wininst-6.0.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/python27/w9xpopen.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Scripts/easy_install.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Scripts/easy_install-2.7.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Scripts/pip2.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Scripts/pip.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/python27/Scripts/pip2.7.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/plugins/debugger/kallockd.exe";"32-Bit";"5.1";"Windows XP"
"./Qualcomm-_ADK6.4.0.43/drivers/cda/Qualcomm_Drivers_WIN_CDA_104.0.0.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/unins001.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/unins000.exe";"32-Bit";"5.0";"Windows 2000"
